epoch,loss,val_loss
0,0.009611703072247716,3.097305408219755e-05
1,0.014955126881465764,2.7982268370073547e-05
2,0.013103377413952129,9.874906310061406e-05
3,0.010183162500551488,0.00014339514786519835
4,0.010188330503970737,0.00010331674275221303
5,0.008023188794174563,5.750924244946671e-05
6,0.007237936740340147,0.00013271115353240425
7,0.005021448483199088,3.77240280108203e-05
8,0.003510186821518733,0.00011518427911343881
9,0.0027486428415512717,6.109080722025182e-05
10,0.002252477460354351,5.0170282318302067e-05
11,0.002193031897250977,7.74946642599793e-05
12,0.0025632610680380217,3.768746197844545e-05
13,0.002601414789144959,4.144274084359899e-05
14,0.003191552554468486,2.4141523378299706e-05
15,0.0014951288381039544,2.602259074693494e-05
16,0.0017509756991650513,8.740297501693324e-05
17,0.0019014017994373313,0.00011951110880343347
18,0.0012576442126441248,0.00020049927843501791
19,0.001267004603370744,2.403088809741247e-05
20,0.001563351605337057,6.912369301264537e-05
21,0.0011723257767126025,9.524709417342415e-05
22,0.0016510406089596304,3.7787833409513245e-05
23,0.001272343275896101,3.8906926622277955e-05
24,0.0012662441485763,2.4375000672686536e-05
25,0.001391242936935871,6.395024461704047e-05
26,0.0014265029547931153,3.465063420864883e-05
27,0.0010189359767941318,8.66706019830114e-05
28,0.002518606796204242,2.842367409054229e-05
29,0.001197925556307719,4.1899992336564334e-05
30,0.001377398813929176,2.6859183940865074e-05
31,0.0012270448384731059,3.453489029602174e-05
32,0.0010848375371737078,5.6474622094053e-05
33,0.000825529320098684,2.907728018423465e-05
34,0.001008279785310151,2.320531171385988e-05
35,0.0009047199651427541,2.7961968448329975e-05
36,0.0008959659208577014,2.699878829541073e-05
37,0.0009102425301534822,2.3179735156494036e-05
38,0.0009499431289441418,2.47431989414003e-05
39,0.0009428527267084939,3.309074883064669e-05
40,0.0008536249876029884,3.117713357722904e-05
41,0.001942427257341074,2.2986205395783247e-05
42,0.0012288904621931983,2.237803972901828e-05
43,0.0008176989349858896,2.345936718484154e-05
44,0.000817469119620337,2.7212593926782978e-05
45,0.0008363634750383897,2.578137597690026e-05
46,0.0007875066078634484,2.1919630853517447e-05
47,0.0006710954726764208,2.3770275725433345e-05
48,0.0007554279165425989,3.3227636878210535e-05
49,0.0006778169319861465,2.3588476374748603e-05
50,0.0006836115676210115,2.105091925841407e-05
51,0.0007071300061161983,2.8787195434334637e-05
52,0.0006876889983686851,2.6472418843089447e-05
53,0.0007331127597151661,2.6833218726096675e-05
54,0.0007007834637988708,2.8755855762736042e-05
55,0.0005887689060694322,2.728756812252363e-05
56,0.0006704204504246634,4.642887638005454e-05
57,0.0006783285468069759,3.485321313847736e-05
58,0.0006234635406212032,5.426055172898082e-05
59,0.0006406032301095331,6.346720773662027e-05
60,0.0005980914771431277,3.784795181774017e-05
61,0.000555488969506836,5.859766477240353e-05
62,0.0005398471157268095,6.551389277673379e-05
63,0.0005954090552054199,3.706248025991954e-05
64,0.0005681564510908814,5.1190144000025204e-05
65,0.0005322281689654186,6.717910986885222e-05
66,0.0005026575228704907,3.415570730188241e-05
67,0.0005351796445649126,9.174568509075066e-05
68,0.0004892041935009831,0.0001432236587990903
69,0.0005662559177734591,8.304145820956264e-05
70,0.0004976240726237949,0.0001123989616947559
71,0.0005299121501054658,8.503248803511572e-05
72,0.0005286207113183789,5.460054510169559e-05
73,0.0004496691509066969,0.00010281365959801608
74,0.00047367440250430565,9.3143110764989e-05
75,0.0004962512220353583,0.00016920389235666435
76,0.0005359871005634044,0.00010095758261741139
77,0.0004607999593712588,7.340507646505203e-05
78,0.00044149055517024225,0.0001203100885807847
79,0.0004946635378844265,0.00017790699671928046
80,0.0004694090879706049,0.00010899941803978031
81,0.00047801072654423207,0.00015760353724342876
82,0.00046155330542037347,0.00012545706421305012
83,0.00042168329026834626,0.00017198416915360012
84,0.000418851176719828,0.00010545826282597975
85,0.0004412387547913736,0.00012235338039722087
86,0.0004562433927343658,3.386209340937462e-05
87,0.00043737659200781273,9.063344300051944e-05
88,0.00043149353923918507,5.791525735629774e-05
89,0.0004372705928256403,8.504094956960116e-05
90,0.0004023285001932419,8.247764607302897e-05
91,0.0003863288560481764,9.470953389407239e-05
92,0.00043609233930678955,0.00030498556023101427
93,0.00037815491404452823,0.00011565101683825358
94,0.0004302910929928422,0.00012086649924943534
95,0.0003867103091747763,0.00017362637704031335
96,0.00037113805976534623,0.00015525158636996316
97,0.00039641708149752556,8.522261608353195e-05
98,0.00038615475572172455,0.00010588151579011335
99,0.00042033610747306804,0.0001818619138147268
